State; FIPS; County; pop; landAreakm2; waterAreakm2; totalAreakm2; lat; long
NY;36043;Herkimer;64,519;3,655.689;120.400;3,776.090;+43.461635°;–74.894694°
NY;36045;Jefferson;116,229;3,285.632;1,524.549;4,810.181;+43.995371°;–76.053522°
NY;36047;Kings [10];2,504,700;183.412;67.603;251.015;+40.635133°;–73.950777°
NY;36049;Lewis;27,087;3,301.404;39.581;3,340.985;+43.786397°;–75.442617°
NY;36051;Livingston;65,393;1,636.257;22.006;1,658.263;+42.727485°;–77.769780°
NY;36053;Madison;73,442;1,696.033;16.681;1,712.715;+42.910026°;–75.663575°
NY;36055;Monroe;744,344;1,702.154;1,837.659;3,539.813;+43.464475°;–77.664656°
NY;36057;Montgomery;50,219;1,043.876;18.939;1,062.815;+42.900891°;–74.435358°
NY;36059;Nassau;1,339,532;737.411;436.461;1,173.872;+40.729687°;–73.589384°
NY;36061;New York [10];1,585,873;59.126;27.873;86.999;+40.776557°;–73.970174°
NY;36063;Niagara;216,469;1,352.904;1,598.827;2,951.730;+43.456731°;–78.792143°
NY;36065;Oneida;234,878;3,140.176;117.138;3,257.314;+43.242727°;–75.434282°
NY;36067;Onondaga;467,026;2,016.020;70.521;2,086.541;+43.006530°;–76.196117°
NY;36069;Ontario;107,931;1,668.122;47.814;1,715.936;+42.856695°;–77.303277°
NY;36071;Orange;372,813;2,102.257;69.822;2,172.079;+41.402410°;–74.306252°
NY;36073;Orleans;42,883;1,013.357;1,103.756;2,117.113;+43.502287°;–78.229726°
NY;36075;Oswego;122,109;2,464.761;933.518;3,398.279;+43.461443°;–76.209258°
NY;36077;Otsego;62,259;2,594.392;36.394;2,630.786;+42.629776°;–75.028841°
NY;36079;Putnam;99,710;596.504;41.283;637.787;+41.427904°;–73.743882°
NY;36081;Queens [10];2,230,722;281.097;180.458;461.555;+40.658557°;–73.837929°
NY;36083;Rensselaer;159,429;1,689.789;33.571;1,723.361;+42.710421°;–73.513845°
NY;36085;Richmond [10];468,730;151.179;113.755;264.933;+40.563855°;–74.137063°
NY;36087;Rockland;311,687;449.493;66.800;516.293;+41.154785°;–74.024772°
NY;36089;St. Lawrence;111,944;6,942.145;365.349;7,307.494;+44.488113°;–75.074311°
NY;36091;Saratoga;219,607;2,097.849;87.603;2,185.452;+43.106135°;–73.855387°
NY;36093;Schenectady;154,727;529.694;12.614;542.308;+42.817542°;–74.043583°
NY;36095;Schoharie;32,749;1,610.504;11.677;1,622.181;+42.591294°;–74.438172°
NY;36097;Schuyler;18,343;850.379;36.246;886.626;+42.419776°;–76.938604°
NY;36099;Seneca;35,251;838.393;172.839;1,011.232;+42.782294°;–76.827088°
NY;36101;Steuben;98,990;3,601.532;35.027;3,636.559;+42.266725°;–77.385525°
NY;36103;Suffolk;1,493,350;2,362.201;3,784.185;6,146.386;+40.943554°;–72.692218°
NY;36105;Sullivan;77,547;2,507.450;74.049;2,581.500;+41.720176°;–74.764680°
NY;36107;Tioga;51,125;1,343.172;11.080;1,354.253;+42.178057°;–76.297450°
NY;36109;Tompkins;101,564;1,229.334;43.795;1,273.129;+42.453281°;–76.473712°
NY;36111;Ulster;182,493;2,911.756;94.600;3,006.355;+41.947232°;–74.265447°
NY;36113;Warren;65,707;2,245.396;167.449;2,412.845;+43.555105°;–73.838139°
NY;36115;Washington;63,216;2,152.756;38.083;2,190.839;+43.312377°;–73.439428°
NY;36117;Wayne;93,772;1,563.903;2,018.182;3,582.085;+43.458758°;–77.063164°
NY;36119;Westchester;949,113;1,114.982;179.999;1,294.982;+41.152770°;–73.745912°
NY;36121;Wyoming;42,155;1,535.206;9.171;1,544.377;+42.701363°;–78.228567°
NY;36123;Yates;25,348;875.786;97.505;973.291;+42.638237°;–77.104324°
NC;37001;Alamance;151,131;1,098.008;27.957;1,125.965;+36.041974°;–79.399935°
NC;37003;Alexander;37,198;673.381;9.470;682.851;+35.920951°;–81.177467°
NC;37005;Alleghany;11,155;608.801;3.855;612.656;+36.489356°;–81.132299°
NC;37007;Anson;26,948;1,376.453;14.613;1,391.066;+34.974996°;–80.109959°
NC;37009;Ashe;27,281;1,103.684;8.117;1,111.801;+36.436305°;–81.498770°
NC;37011;Avery;17,797;639.952;0.367;640.319;+36.072894°;–81.920363°
NC;37013;Beaufort;47,759;2,142.418;339.348;2,481.766;+35.482313°;–76.842014°
NC;37015;Bertie;21,282;1,811.100;108.725;1,919.826;+36.061330°;–76.962367°
NC;37017;Bladen;35,190;2,264.499;33.230;2,297.729;+34.591949°;–78.539513°
NC;37019;Brunswick;107,431;2,193.650;525.381;2,719.031;+34.038708°;–78.227688°
NC;37021;Buncombe;238,318;1,700.773;8.985;1,709.757;+35.609371°;–82.530426°
NC;37023;Burke;90,912;1,313.381;20.658;1,334.039;+35.746182°;–81.706180°
NC;37025;Cabarrus;178,011;936.925;7.033;943.958;+35.387845°;–80.552868°
NC;37027;Caldwell;83,029;1,221.350;7.116;1,228.465;+35.957857°;–81.530076°
NC;37029;Camden;9,980;623.038;180.412;803.450;+36.342344°;–76.162488°
NC;37031;Carteret;66,469;1,311.185;2,161.018;3,472.204;+34.858313°;–76.526967°
NC;37033;Caswell;23,719;1,100.542;8.625;1,109.167;+36.393097°;–79.332546°
NC;37035;Catawba;154,358;1,032.684;38.057;1,070.741;+35.663182°;–81.214151°
NC;37037;Chatham;63,505;1,766.852;71.603;1,838.455;+35.704994°;–79.251454°
NC;37039;Cherokee;27,444;1,179.547;29.263;1,208.810;+35.136233°;–84.061308°
NC;37041;Chowan;14,793;446.702;157.536;604.239;+36.127288°;–76.602070°
NC;37043;Clay;10,587;556.201;15.224;571.425;+35.052997°;–83.752264°
NC;37045;Cleveland;98,078;1,202.408;10.356;1,212.765;+35.334630°;–81.557115°
NC;37047;Columbus;58,098;2,427.578;42.338;2,469.916;+34.260471°;–78.636378°
NC;37049;Craven;103,505;1,836.192;168.877;2,005.068;+35.118179°;–77.082541°
NC;37051;Cumberland;319,431;1,689.488;15.675;1,705.163;+35.050192°;–78.828719°
NC;37053;Currituck;23,547;678.194;685.674;1,363.868;+36.372174°;–75.941224°
NC;37055;Dare;33,920;993.052;3,053.970;4,047.022;+35.606269°;–75.767536°
NC;37057;Davidson;162,878;1,431.421;37.149;1,468.570;+35.795123°;–80.206525°
NC;37059;Davie;41,240;684.029;7.727;691.756;+35.929356°;–80.542542°
NC;37061;Duplin;58,505;2,113.999;14.128;2,128.127;+34.934403°;–77.933543°
NC;37063;Durham;267,587;740.673;30.798;771.471;+36.036589°;–78.877919°
NC;37065;Edgecombe;56,552;1,308.815;3.402;1,312.217;+35.917055°;–77.602655°
NC;37067;Forsyth;350,670;1,057.097;11.781;1,068.878;+36.131667°;–80.257289°
NC;37069;Franklin;60,619;1,273.451;7.295;1,280.746;+36.088241°;–78.283090°
NC;37071;Gaston;206,086;922.106;20.913;943.020;+35.293344°;–81.177256°
NC;37073;Gates;12,197;881.748;13.578;895.326;+36.442135°;–76.702355°
NC;37075;Graham;8,861;756.482;24.828;781.310;+35.348111°;–83.830909°
NC;37077;Granville;59,916;1,376.759;12.766;1,389.525;+36.299884°;–78.657634°
NC;37079;Greene;21,362;688.749;1.222;689.971;+35.481933°;–77.681667°
NC;37081;Guilford;488,406;1,672.365;30.884;1,703.248;+36.079065°;–79.788665°
NC;37083;Halifax;54,691;1,875.375;18.371;1,893.746;+36.251438°;–77.644842°
NC;37085;Harnett;114,678;1,541.009;16.361;1,557.370;+35.368635°;–78.871610°
NC;37087;Haywood;59,036;1,434.055;2.417;1,436.472;+35.557097°;–82.972807°
NC;37089;Henderson;106,740;966.242;5.602;971.844;+35.336424°;–82.479634°
NC;37091;Hertford;24,669;914.422;18.892;933.313;+36.363517°;–76.981616°
